1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
153	-0.118296	47.732446	175.962558	0.001654	1.4
154	-0.138579	48.136482	174.934225	0.000660	1.2
155	-0.117136	49.117328	172.487133	0.001352	1.3
156	-0.116810	50.115655	170.065746	0.001542	1.3
157	-0.113076	51.115638	167.707549	0.001275	1.4
158	-0.127940	50.509524	169.129037	0.001207	1.4
159	-0.127438	49.938363	170.490781	0.000802	1.4
160	-0.111466	50.937295	168.123322	0.001292	1.4
161	-0.118228	51.917669	165.862913	0.001135	1.3
162	-0.108462	51.795120	166.142140	0.000664	1.2
163	-0.108222	51.224364	167.455085	0.000602	1.2
164	-0.150201	51.770101	166.199261	0.000518	1.3
165	-0.135156	51.341272	167.184467	0.001512	2.4
166	-0.097150	50.776297	168.500430	0.001611	2.5
167	-0.114680	51.590350	166.610809	0.001108	2.6
168	-0.132692	52.521075	164.501635	0.001783	2.2
169	-0.125140	51.914905	165.869199	0.000887	2.2
170	-0.112973	52.891211	163.677612	0.001401	2.6
171	-0.103313	52.439333	164.684734	0.000822	2.7
172	-0.124723	53.403036	162.551659	0.001303	1.7
173	-0.128607	52.815207	163.846143	0.000546	2.2
174	-0.102732	52.325915	164.939462	0.001400	2.9
175	-0.142498	51.724472	166.303538	0.001013	2.2
176	-0.116568	52.643342	164.228519	0.000969	1.9
177	-0.118861	52.055482	165.550027	0.001184	2.7
178	-0.137097	51.457481	166.916333	0.000997	3.2
179	-0.125281	52.026701	165.615272	0.000860	1.8
180	-0.112113	53.008352	163.418541	0.001458	2.6
181	-0.100083	52.418035	164.732506	0.000788	3.8
182	-0.119061	51.811927	166.103789	0.001557	3.0
183	-0.118380	52.808134	163.861845	0.000992	2.5
184	-0.108111	53.807708	161.672336	0.001469	2.1
185	-0.113676	54.788453	159.580206	0.000597	2.2
186	-0.111990	54.183420	160.864417	0.000652	1.6
187	-0.112388	53.655254	162.002488	0.001132	1.9
188	-0.099614	54.505665	160.177875	0.000616	1.5
189	-0.094743	55.460323	158.177948	0.001054	1.4
190	-0.122734	55.053436	159.024202	0.000778	1.6
191	-0.132089	55.577909	157.935063	0.001150	1.5
192	-0.125809	54.972144	159.194362	0.001306	1.6
193	-0.115319	55.971993	157.126462	0.001424	1.6
194	-0.133358	56.970721	155.113827	0.001229	1.6
195	-0.123609	56.364535	156.329214	0.001404	1.4
196	-0.108977	56.249984	156.561028	0.001164	1.5
197	-0.128881	57.248615	154.562952	0.001350	1.8
198	-0.136018	58.223823	152.660355	0.000844	1.7
199	-0.106323	58.321296	152.472761	0.001022	1.7
200	-0.108901	59.319042	150.578701	0.000496	1.6
201	-0.121950	59.058064	151.069566	0.000416	1.7
202	-0.114733	59.004546	151.170622	0.001277	1.7
203	-0.126605	58.571259	151.993787	0.000705	1.6
204	-0.099769	57.965709	153.159354	0.001230	1.5
205	-0.123771	58.909664	151.350116	0.000834	1.5
206	-0.111200	58.331529	152.453093	0.000520	1.6
207	-0.144809	59.257120	150.694879	0.001030	1.7
208	-0.125080	60.067220	149.188994	0.001194	1.7
209	-0.105261	59.939340	149.424705	0.001811	1.5
210	-0.130356	60.939339	147.601104	0.000901	1.3
211	-0.122994	61.939222	145.821684	0.000999	1.4
212	-0.129094	62.938670	144.085401	0.001040	1.4
213	-0.116051	62.332826	145.132927	0.000488	1.4
214	-0.111904	61.846163	145.985481	0.001451	1.5
215	-0.114661	61.266957	147.013301	0.001036	1.6
216	-0.110459	60.660837	148.104494	0.000797	1.4
217	-0.124045	61.460414	146.668400	0.000745	1.5
218	-0.119549	62.193336	145.376271	0.000923	1.8
219	-0.125993	62.064873	145.601101	0.001353	1.6
220	-0.120215	61.843295	145.990535	0.001886	1.7
221	-0.120834	62.843293	144.249307	0.001259	1.8
222	-0.132878	62.237132	145.299779	0.001024	2.0
223	-0.116674	62.047525	145.631517	0.001015	1.7
224	-0.125655	63.043502	143.905676	0.001041	1.5
225	-0.115004	64.043322	142.213836	0.001345	1.5
226	-0.125500	63.437154	143.234777	0.001078	1.3
227	-0.141216	64.361107	141.684398	0.000633	1.7
