1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
164	-0.331225	1.306914	1624.990396	0.000473	0.9
165	-0.323957	0.576540	1679.996927	0.000302	0.9
166	-0.370834	0.000000	1726.120067	0.000506	1.0
167	-0.352514	0.000000	1726.120067	0.000474	1.1
168	-0.321370	0.000000	1726.120067	0.000405	0.9
169	-0.342598	0.000000	1726.120067	0.000798	0.9
170	-0.335324	0.031612	1723.525573	0.000073	0.9
171	-0.380532	0.000000	1726.120067	0.000385	0.9
172	-0.358764	0.000000	1726.120067	0.000307	0.9
173	-0.315047	0.000000	1726.120067	0.000259	0.9
174	-0.353268	0.000000	1726.120067	0.000578	0.9
175	-0.341307	0.992405	1648.229086	0.000403	0.9
176	-0.325950	1.992023	1576.569490	0.000513	0.9
177	-0.337709	2.989868	1510.992974	0.000488	1.2
178	-0.326006	3.930880	1453.960763	0.000489	1.1
179	-0.363550	3.189404	1498.528917	0.000273	0.9
180	-0.338018	2.448092	1545.904969	0.000202	0.9
181	-0.325589	1.721238	1595.358581	0.000688	0.9
182	-0.345136	0.979766	1649.176882	0.000351	0.9
183	-0.335180	0.439379	1690.744951	0.000538	1.0
184	-0.346403	1.439378	1615.397767	0.000305	1.0
185	-0.333281	2.439353	1546.481288	0.000548	0.9
186	-0.360825	1.697873	1597.000774	0.000558	0.8
187	-0.328861	0.956388	1650.932783	0.000479	0.9
188	-0.358459	0.214912	1708.634096	0.000417	1.1
189	-0.362897	1.213686	1631.810259	0.000776	1.0
190	-0.353532	0.472218	1688.159166	0.000150	0.9
191	-0.349819	1.425750	1616.379458	0.000285	0.9
192	-0.357943	0.720056	1668.896342	0.000565	0.9
193	-0.345757	0.000000	1726.120067	0.000409	0.9
194	-0.329406	0.999678	1647.684195	0.000485	0.9
195	-0.327800	0.263346	1704.742120	0.000138	1.0
196	-0.354018	0.000000	1726.120067	0.000199	0.9
197	-0.342700	0.000000	1726.120067	0.000246	0.9
198	-0.342897	0.000000	1726.120067	0.000508	0.9
199	-0.357470	0.000000	1726.120067	0.000888	0.9
200	-0.332696	0.981805	1649.023847	0.000550	1.0
201	-0.325200	0.240318	1706.590299	0.000367	1.0
202	-0.321099	1.240318	1629.856229	0.000527	0.9
203	-0.348118	0.498831	1686.069383	0.000370	0.8
204	-0.333931	0.000000	1726.120067	0.000393	0.8
205	-0.333657	0.000000	1726.120067	0.000212	0.9
